OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
344,RAIL748,Rutherglen - Carmyle,3543.205866109999988,0.000000000000000,0.000000000000000,0.000000000000000,0.054396927133381,0.054951153220339
345,RAIL749,Carmyle - Mount Vernon,1668.234996989999900,0.000000000000000,0.000000000000000,0.000000000000000,0.025146253576459,0.025146253576459
346,RAIL750,Mount Vernon - Baillieston,1339.796147130000008,0.000000000000000,0.000000000000000,0.000000000000000,0.020436920453936,0.020436920453936
347,RAIL753,Kirkwood - Whifflet,1946.686844280000059,0.000000000000000,0.000000000000000,0.000000000000000,0.030290769090699,0.030290769090699
348,RAIL754,Whifflet - Motherwell,7355.969457889999831,0.000000000000000,0.000000000000000,0.000000000000000,0.073314961420074,0.073314961420073
349,RAIL766,Carstairs - Carluke,13493.348072000000684,0.000000000000000,0.000000000000000,0.000000000000000,0.193595681270108,0.193595681270107
350,RAIL770,Wishaw - Holytown,5838.879022660000373,0.000000000000000,0.000000000000000,0.000000000000000,0.068442694499612,0.068442694499612
351,RAIL779,Whifflet - Coatbridge Central,1299.737109220000093,0.000000000000000,0.000000000000000,0.000000000000000,0.016189210035475,0.016189210035475
352,RAIL780,Coatbridge Central - Greenfaulds,9342.435382469999240,0.000000000000000,0.000000000000000,0.000000000000000,0.102611137178280,0.102611137178280
353,RAIL788,Uddingston - Motherwell,7128.077535069999612,0.000000000000000,0.000000000000000,0.000000000000000,0.100235475653646,0.100235475653646
354,RAIL795,Kirknewton - Carstairs,28067.374156800000492,0.000000000000000,0.000000000000000,0.000000000000000,0.327922588550298,0.327922588550298
355,RAIL807,Drem - Dunbar,18303.573603600001661,0.000000000000000,0.000000000000000,0.000000000000000,0.279731720895460,0.279908276524986
356,RAIL81,Newton (S Lanarks) - Blantyre,3952.588442849999865,0.000000000000000,0.000000000000000,0.000000000000000,0.052511060433265,0.052511060433265
357,RAIL811,Linlithgow - Dalmeny,15754.714730100000452,0.000000000000000,0.000000000000000,0.000000000000000,0.235232221831730,0.235232221831730
358,RAIL82,Blantyre - Hamilton West,2908.115901319999921,0.000000000000000,0.000000000000000,0.000000000000000,0.037366370453469,0.037366370453469
359,RAIL83,Hamilton West - Hamilton Central,1313.828092989999959,0.000000000000000,0.000000000000000,0.000000000000000,0.017837338123166,0.017837338123166
360,RAIL84,Hamilton Central - Airbles,4031.398493300000155,0.000000000000000,0.000000000000000,0.000000000000000,0.052689685404006,0.052689685404006
361,RAIL843,Troon - Kilmarnock,14708.617782499999521,0.000000000000000,0.000000000000000,0.000000000000000,0.191522287700004,0.191522287700004
362,RAIL861,Langside - Cathcart,1204.052460370000063,0.000000000000000,0.000000000000000,0.000000000000000,0.017641301475931,0.017641301475931
363,RAIL862,Carnoustie - Golf Street,853.355734020000000,0.000000000000000,0.000000000000000,0.000000000000000,0.013367950140447,0.013367950140447
364,RAIL863,Golf Street - Barry Links,1676.166380990000107,0.000000000000000,0.000000000000000,0.000000000000000,0.026253369884857,0.026253369884857
365,RAIL864,Barry Links - Monifieth,4712.964825119999659,0.000000000000000,0.000000000000000,0.000000000000000,0.073794675040842,0.073794675040842
366,RAIL865,Monifieth - Balmossie,1415.712130509999952,0.000000000000000,0.000000000000000,0.000000000000000,0.021370063969247,0.021548424601454
367,RAIL866,Balmossie - Broughty Ferry,2328.336969290000070,0.000000000000000,107.794306787065580,53.888675149875347,215.622531888729327,0.035262766201671
368,RAIL876,Perth - Invergowrie,28394.990546100001666,0.000000000000000,0.000000000000000,0.000000000000000,0.408211307183626,0.411662216624027
369,RAIL877,Invergowrie - Dundee,5648.454614039999797,0.000000000000000,0.000000000000000,0.000000000000000,0.088037070052844,0.088037070052844
370,RAIL882,Ladybank - Springfield,5212.048547819999840,0.000000000000000,0.000000000000000,0.000000000000000,0.075554984321886,0.075554984321886
371,RAIL883,Springfield - Cupar,3671.923820439999872,0.000000000000000,0.000000000000000,0.000000000000000,0.049034508207329,0.049034508207329
372,RAIL884,Inverurie - Dyce,17128.408320899998216,0.000000000000000,0.000000000000000,0.000000000000000,0.225350130230760,0.225350130230760
373,RAIL885,Dyce - Aberdeen,9972.245529320000060,0.000000000000000,0.000000000000000,0.000000000000000,0.124350296400206,0.124350296400206
374,RAIL924,Huntly - Insch,21370.447272800000064,0.000000000000000,79.951332000753609,39.434142204129458,378.365895423452685,0.278944446239872
375,RAIL925,Insch - Inverurie,17200.081970100000035,0.000000000000000,0.000000000000000,0.000000000000000,0.258211822477302,0.258211822477302
376,RAIL926,Elgin - Keith,29894.171137199999066,0.000000000000000,0.000000000000000,0.000000000000000,0.426093917385994,0.426249532002678
377,RAIL927,Keith - Huntly,20035.778796099999454,0.000000000000000,0.000000000000000,0.000000000000000,0.263624436135055,0.263624436135057
378,Helper,Helensburgh Upper - Craigendoran,2921.138394510000126,0.000000000000000,0.000000000000000,0.000000000000000,0.036568830530678,0.036568830530678
379,RAIL176,Kinghorn - Burntisland,4187.548598780000248,0.000000000000000,0.000000000000000,0.000000000000000,0.061970235239424,0.061970235239424
380,RAIL293,Springburn - ROBROYSTON,4411.886265009999988,0.000000000000000,0.000000000000000,0.000000000000000,0.063331210347700,0.063331210347700
381,RAIL837,Motherwell - Holytown,4349.772012800000084,0.000000000000000,0.000000000000000,0.000000000000000,0.049512634203188,0.049512634203188
